Date ,Close ,Delta,Delta Base,Tag
20-Jun-23,43766.5,1130.75," 1,631 ",Nifty Bank
20-Jun-23,4090.6, 106 , 606 ,Nifty PSU Banks
21-Jun-23,514.15, 86 , 586 ,Nifty Realty
21-Jun-23,19635.95, 643 ," 1,143 ",Nifty Financial Services
21-Jun-23,14777.7, (8), 492 ,Nifty Auto
21-Jun-23,13247.7, 793 ," 1,293 ",Nifty Pharma
21-Jun-23,22390.9, 834 ," 1,334 ",Nifty Private Bank
21-Jun-23,7607.9, 256 , 756 ,Nifty Oil & Gas
21-Jun-23,6187.75, 484 , 984 ,Nifty Metal
21-Jun-23,1777.95,94, 594 ,Nifty Media
21-Jun-23,29025.7," 2,012 "," 2,512 ",Nifty IT
21-Jun-23,8642.4, 758 ," 1,258 ",Nifty Healthcare
21-Jun-23,51934.25," 4,991 "," 5,491 ",Nifty FMCG
21-Jun-23,24865.45," 1,658 "," 2,158 ",Nifty Energy
21-Jun-23,27312.9," 2,754 "," 3,254 ",Nifty Con Durable
21-Jun-23,43859.2,1223.45," 1,723 ",Nifty Bank
21-Jun-23,4108.55, 124 , 624 ,Nifty PSU Banks
22-Jun-23,510.05, 82 , 582 ,Nifty Realty
22-Jun-23,19594.35, 601 ," 1,101 ",Nifty Financial Services
22-Jun-23,14702.1, (76), 424 ,Nifty Auto
22-Jun-23,13166.85, 713 ," 1,213 ",Nifty Pharma
22-Jun-23,22297.3, 740 ," 1,240 ",Nifty Private Bank
22-Jun-23,7548.15, 196 , 696 ,Nifty Oil & Gas
22-Jun-23,6190.95, 488 , 988 ,Nifty Metal
22-Jun-23,1778.7,94, 594 ,Nifty Media
22-Jun-23,28811.15," 1,798 "," 2,298 ",Nifty IT
22-Jun-23,8583.7, 700 ," 1,200 ",Nifty Healthcare
22-Jun-23,51557.8," 4,615 "," 5,115 ",Nifty FMCG
22-Jun-23,24607.9," 1,401 "," 1,901 ",Nifty Energy
22-Jun-23,27117.65," 2,559 "," 3,059 ",Nifty Con Durable
22-Jun-23,43724.85,1089.1," 1,589 ",Nifty Bank
22-Jun-23,4040.1, 56 , 556 ,Nifty PSU Banks
23-Jun-23,506.9, 79 , 579 ,Nifty Realty
23-Jun-23,19515.05, 522 ," 1,022 ",Nifty Financial Services
23-Jun-23,14550.2, (152), 348 ,Nifty Auto
23-Jun-23,13186.3, 732 ," 1,232 ",Nifty Pharma
23-Jun-23,22292.85, 736 ," 1,236 ",Nifty Private Bank
23-Jun-23,7434.25, 82 , 582 ,Nifty Oil & Gas
23-Jun-23,6037.2, 334 , 834 ,Nifty Metal
23-Jun-23,1740.85,57, 557 ,Nifty Media
23-Jun-23,28554.25," 1,541 "," 2,041 ",Nifty IT
23-Jun-23,8583.6, 699 ," 1,199 ",Nifty Healthcare
23-Jun-23,51283.75," 4,341 "," 4,841 ",Nifty FMCG
23-Jun-23,24332.2," 1,125 "," 1,625 ",Nifty Energy
23-Jun-23,26663.25," 2,104 "," 2,604 ",Nifty Con Durable
23-Jun-23,43622.9,987.15," 1,487 ",Nifty Bank
23-Jun-23,3992.25, 8 , 508 ,Nifty PSU Banks
26-Jun-23,508.55, 81 , 581 ,Nifty Realty
26-Jun-23,19521.75, 529 ," 1,029 ",Nifty Financial Services
26-Jun-23,14717.85, 168 , 668 ,Nifty Auto
26-Jun-23,13388.6, 934 ," 1,434 ",Nifty Pharma
26-Jun-23,22302.9, 746 ," 1,246 ",Nifty Private Bank
26-Jun-23,7429.35, 77 , 577 ,Nifty Oil & Gas
26-Jun-23,6083.1, 380 , 880 ,Nifty Metal
26-Jun-23,1742.4,58, 558 ,Nifty Media
26-Jun-23,28590.1," 1,576 "," 2,076 ",Nifty IT
26-Jun-23,8713.35, 829 ," 1,329 ",Nifty Healthcare
26-Jun-23,51635," 4,692 "," 5,192 ",Nifty FMCG
26-Jun-23,24226.65," 1,019 "," 1,519 ",Nifty Energy
26-Jun-23,26903.8," 2,345 "," 2,845 ",Nifty Con Durable
26-Jun-23,43641.05,1005.3," 1,505 ",Nifty Bank
26-Jun-23,3984.9, 1 , 501 ,Nifty PSU Banks
27-Jun-23,514.85, 87 , 587 ,Nifty Realty
27-Jun-23,19788.5, 796 ," 1,296 ",Nifty Financial Services
27-Jun-23,14729.9, 12 , 512 ,Nifty Auto
27-Jun-23,13426.9, 973 ," 1,473 ",Nifty Pharma
27-Jun-23,22550.05, 993 ," 1,493 ",Nifty Private Bank
27-Jun-23,7428.95, 77 , 577 ,Nifty Oil & Gas
27-Jun-23,6127.65, 424 , 924 ,Nifty Metal
27-Jun-23,1753.5,69, 569 ,Nifty Media
27-Jun-23,28800.15," 1,787 "," 2,287 ",Nifty IT
27-Jun-23,8767.75, 884 ," 1,384 ",Nifty Healthcare
27-Jun-23,51598.6," 4,656 "," 5,156 ",Nifty FMCG
27-Jun-23,24284.85," 1,077 "," 1,577 ",Nifty Energy
27-Jun-23,26915.35," 2,357 "," 2,857 ",Nifty Con Durable
27-Jun-23,44121.5,1485.75," 1,986 ",Nifty Bank
27-Jun-23,4025.7, 42 , 542 ,Nifty PSU Banks
28-Jun-23,517.25, 89 , 589 ,Nifty Realty
28-Jun-23,19895.15, 902 ," 1,402 ",Nifty Financial Services
28-Jun-23,14840.55, 111 , 611 ,Nifty Auto
28-Jun-23,13622.75," 1,168 "," 1,668 ",Nifty Pharma
28-Jun-23,22658.7," 1,101 "," 1,601 ",Nifty Private Bank
28-Jun-23,7486.6, 134 , 634 ,Nifty Oil & Gas
28-Jun-23,6211.05, 508 ," 1,008 ",Nifty Metal
28-Jun-23,1741.7,57, 557 ,Nifty Media
28-Jun-23,28842.95," 1,829 "," 2,329 ",Nifty IT
28-Jun-23,8860.95, 977 ," 1,477 ",Nifty Healthcare
28-Jun-23,51893.4," 4,950 "," 5,450 ",Nifty FMCG
28-Jun-23,24554.45," 1,347 "," 1,847 ",Nifty Energy
28-Jun-23,27024.5," 2,466 "," 2,966 ",Nifty Con Durable
28-Jun-23,44327.8,1692.05," 2,192 ",Nifty Bank
