Symbol  ,Date  ,Close Price  ,Total Traded Quantity  ,Gain,Loss,Average Gain,Average Loss,RS,RSI
HDFCBANK,04-Dec-23,"1,609.40"," 2,53,31,228 ",54,0, 10.61 , 4.09 , 2.59 , 72 
HDFCBANK,05-Dec-23,"1,623.70"," 2,61,15,410 ",14.3,0, 10.88 , 3.80 , 2.86 , 74 
HDFCBANK,06-Dec-23,"1,627.80"," 1,93,06,530 ",4.1,0, 10.39 , 3.53 , 2.95 , 75 
HDFCBANK,07-Dec-23,"1,630.45"," 1,02,25,193 ",2.65,0, 9.84 , 3.28 , 3.00 , 75 
HDFCBANK,08-Dec-23,"1,653.20"," 1,68,64,019 ",22.75,0, 10.76 , 3.04 , 3.54 , 78 
HDFCBANK,11-Dec-23,"1,651.00"," 1,15,93,810 ",0,2.2, 9.99 , 2.98 , 3.35 , 77 
HDFCBANK,12-Dec-23,"1,634.60"," 1,82,90,738 ",0,16.4, 9.28 , 3.94 , 2.36 , 70 
HDFCBANK,13-Dec-23,"1,630.90"," 1,46,73,457 ",0,3.7, 8.62 , 3.92 , 2.20 , 69 
HDFCBANK,14-Dec-23,"1,650.15"," 1,75,86,183 ",19.25,0, 9.38 , 3.64 , 2.57 , 72 
HDFCBANK,15-Dec-23,"1,656.55"," 6,94,18,565 ",6.4,0, 9.16 , 3.38 , 2.71 , 73 
HDFCBANK,18-Dec-23,"1,655.70"," 90,07,377 ",0,0.85, 8.51 , 3.20 , 2.66 , 73 
HDFCBANK,19-Dec-23,"1,652.90"," 1,20,04,223 ",0,2.8, 7.90 , 3.17 , 2.49 , 71 
HDFCBANK,20-Dec-23,"1,657.00"," 1,71,16,260 ",4.1,0, 7.63 , 2.95 , 2.59 , 72 
HDFCBANK,21-Dec-23,"1,686.70"," 1,82,94,620 ",29.7,0, 9.21 , 2.74 , 3.37 , 77 
HDFCBANK,22-Dec-23,"1,670.85"," 2,42,89,425 ",0,15.85, 8.55 , 3.67 , 2.33 , 70 
HDFCBANK,26-Dec-23,"1,682.45"," 90,22,928 ",11.6,0, 8.77 , 3.41 , 2.57 , 72 
HDFCBANK,27-Dec-23,"1,703.30"," 1,35,04,539 ",20.85,0, 9.63 , 3.17 , 3.04 , 75 
HDFCBANK,28-Dec-23,"1,705.25"," 2,20,38,235 ",1.95,0, 9.08 , 2.94 , 3.09 , 76 
HDFCBANK,29-Dec-23,"1,709.25"," 1,25,05,713 ",4,0, 8.72 , 2.73 , 3.19 , 76 
HDFCBANK,01-Jan-24,"1,698.10"," 71,19,843 ",0,11.15, 8.10 , 3.33 , 2.43 , 71 
HDFCBANK,02-Jan-24,"1,699.10"," 1,46,21,046 ",1,0, 7.59 , 3.09 , 2.45 , 71 
HDFCBANK,03-Jan-24,"1,672.90"," 1,41,94,881 ",0,26.2, 7.05 , 4.74 , 1.49 , 60 
HDFCBANK,04-Jan-24,"1,690.85"," 1,33,67,028 ",17.95,0, 7.83 , 4.41 , 1.78 , 64 
HDFCBANK,05-Jan-24,"1,682.20"," 1,59,44,735 ",0,8.65, 7.27 , 4.71 , 1.54 , 61 
HDFCBANK,08-Jan-24,"1,663.45"," 89,99,235 ",0,18.75, 6.75 , 5.71 , 1.18 , 54 
HDFCBANK,09-Jan-24,"1,650.50"," 1,26,63,444 ",0,12.95, 6.27 , 6.23 , 1.01 , 50 
HDFCBANK,10-Jan-24,"1,655.95"," 80,57,912 ",5.45,0, 6.21 , 5.78 , 1.07 , 52 
HDFCBANK,11-Jan-24,"1,649.00"," 91,57,005 ",0,6.95, 5.76 , 5.87 , 0.98 , 50 
HDFCBANK,12-Jan-24,"1,641.20"," 98,86,776 ",0,7.8, 5.35 , 6.01 , 0.89 , 47 
HDFCBANK,15-Jan-24,"1,672.80"," 1,41,60,178 ",31.6,0, 7.23 , 5.58 , 1.30 , 56 
HDFCBANK,16-Jan-24,"1,679.15"," 1,26,61,250 ",6.35,0, 7.16 , 5.18 , 1.38 , 58 
HDFCBANK,17-Jan-24,"1,537.50"," 8,50,72,618 ",0,141.65, 6.65 , 14.93 , 0.45 , 31 
HDFCBANK,18-Jan-24,"1,486.15"," 8,05,35,465 ",0,51.35, 6.18 , 17.53 , 0.35 , 26 
HDFCBANK,19-Jan-24,"1,470.65"," 5,48,00,269 ",0,15.5, 5.74 , 17.38 , 0.33 , 25 
HDFCBANK,20-Jan-24,"1,478.85"," 1,29,20,293 ",8.2,0, 5.91 , 16.14 , 0.37 , 27 
HDFCBANK,23-Jan-24,"1,427.35"," 5,77,34,701 ",0,51.5, 5.49 , 18.67 , 0.29 , 23 
HDFCBANK,24-Jan-24,"1,455.90"," 4,30,02,202 ",28.55,0, 7.14 , 17.33 , 0.41 , 29 
HDFCBANK,25-Jan-24,"1,434.90"," 4,94,70,926 ",0,21, 6.63 , 17.60 , 0.38 , 27 
HDFCBANK,29-Jan-24,"1,454.65"," 3,28,22,749 ",19.75,0, 7.56 , 16.34 , 0.46 , 32 
HDFCBANK,30-Jan-24,"1,444.30"," 2,08,64,384 ",0,10.35, 7.02 , 15.91 , 0.44 , 31 
HDFCBANK,31-Jan-24,"1,462.55"," 3,28,80,520 ",18.25,0, 7.83 , 14.77 , 0.53 , 35 
HDFCBANK,01-Feb-24,"1,466.35"," 1,63,45,370 ",3.8,0, 7.54 , 13.72 , 0.55 , 35 
HDFCBANK,02-Feb-24,"1,446.15"," 2,24,33,877 ",0,20.2, 7.00 , 14.18 , 0.49 , 33 
HDFCBANK,05-Feb-24,"1,444.85"," 1,93,02,523 ",0,1.3, 6.50 , 13.26 , 0.49 , 33 
HDFCBANK,06-Feb-24,"1,444.10"," 2,05,37,870 ",0,0.75, 6.04 , 12.37 , 0.49 , 33 
HDFCBANK,07-Feb-24,"1,429.95"," 2,74,18,543 ",0,14.15, 5.60 , 12.50 , 0.45 , 31 
HDFCBANK,08-Feb-24,"1,403.05"," 3,45,53,062 ",0,26.9, 5.20 , 13.52 , 0.38 , 28 
HDFCBANK,09-Feb-24,"1,403.60"," 2,83,21,062 ",0.55,0, 4.87 , 12.56 , 0.39 , 28 
HDFCBANK,12-Feb-24,"1,390.00"," 1,72,23,906 ",0,13.6, 4.52 , 12.63 , 0.36 , 26 
HDFCBANK,13-Feb-24,"1,394.45"," 2,87,90,497 ",4.45,0, 4.52 , 11.73 , 0.39 , 28 
HDFCBANK,14-Feb-24,"1,384.05"," 4,56,60,405 ",0,10.4, 4.20 , 11.64 , 0.36 , 27 
HDFCBANK,15-Feb-24,"1,414.05"," 2,07,92,472 ",30,0, 6.04 , 10.80 , 0.56 , 36 
HDFCBANK,16-Feb-24,"1,419.90"," 1,60,87,871 ",5.85,0, 6.03 , 10.03 , 0.60 , 38 
